Date,FTSE 100
07/2018,23472.442659689736
08/2018,22699.716115228115
09/2018,22968.362464544265
10/2018,21853.083260806434
11/2018,21502.878616049074
12/2018,20751.4105812426
01/2019,21505.013578636488
02/2019,21996.31509425854
03/2019,22718.400764452243
04/2019,23245.746691442248
05/2019,22578.4486212966
06/2019,23473.427662542523
07/2019,23997.50456072214
08/2019,23019.36800112309
09/2019,23701.602023526364
10/2019,23259.24472512364
11/2019,23678.558405975153
12/2019,24336.87930740696
01/2020,23520.18706485527
02/2020,21404.628579540888
03/2020,18532.487507625803
04/2020,19255.014938469554
05/2020,19897.439959026724
06/2020,20227.063789517233
07/2020,19377.64976799076
08/2020,19716.425990693173
09/2020,19412.206902050624
10/2020,18490.26239585567
11/2020,20835.897034092046
12/2020,21519.853182649545
01/2021,21350.053024604862
02/2021,21686.883624815237
03/2021,22586.80929944964
04/2021,23511.571695645882
05/2021,23764.739047936597
06/2021,23860.163889351188
07/2021,23875.851772529808
08/2021,24366.016359122445
09/2021,24325.971422538096
10/2021,24863.335987483966
11/2021,24322.739314059138
12/2021,25478.84430951917
01/2022,25764.392371947582
02/2022,25844.52597695269
03/2022,26209.14810984833
04/2022,26406.588269271506
05/2022,26704.429025149544
06/2022,25225.809139912348
07/2022,26150.961272655277
08/2022,25874.269943634994
09/2022,24537.964115589897
10/2022,25271.942377352854
11/2022,27071.04781746596
12/2022,26668.22706070953
01/2023,27827.518458462833
02/2023,28315.947394608716
03/2023,27612.967897209135
04/2023,28554.45461123538
05/2023,27146.410901037823
06/2023,27524.46048462831
07/2023,28171.12630870852
08/2023,27466.79931792945
09/2023,28126.64125804193
10/2023,27088.166215411038
11/2023,27707.434389486138
12/2023,28775.029998016074
01/2024,28409.192653142298
02/2024,28537.36918492317
03/2024,29920.278145535976
04/2024,30733.849830342682
05/2024,31370.22643189903
06/2024,31037.67592476225
07/2024,31823.006122684146
08/2024,32097.96555252129
09/2024,31603.62620438884
10/2024,31146.209853051256
11/2024,31957.16513020009
12/2024,31545.751215663608
01/2025,33501.01652827482
02/2025,34168.50690003974
03/2025,33471.8839188452
04/2025,33249.80911250838
05/2025,34518.96139869773
06/2025,34533.33574730438
07/2025,36023.410807029184
